path	name	localized_name	version	package_url	remote_manifest_url
assets/res/raw-assets/70/70f3e0df-280e-43fe-bf30-79f68f0f6a33.manifest	WildApe	WildApe	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/WildApe	http://ifs.yonorummy.in/GameX/WildApe/project.manifest
assets/res/raw-assets/70/70f91277-5a95-44b1-9ecf-71600e58e2ac.manifest	UonoHammer	UonoHammer	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/UonoHammer	http://ifs.yonorummy.in/GameX/UonoHammer/project.manifest
assets/res/raw-assets/71/7182c53e-6100-4a01-9e8b-24d1c3450d6f.manifest	EvilEyes	EvilEyes	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/EvilEyes	http://ifs.yonorummy.in/GameX/EvilEyes/project.manifest
assets/res/raw-assets/75/754b8944-adf6-4d41-8f10-528e411a5e7f.manifest	Nudo	Nudo	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Nudo	http://ifs.yonorummy.in/GameX/Nudo/project.manifest
assets/res/raw-assets/76/762185ae-726f-4ddc-afa6-fe3f8c073429.manifest	BookOfBooks	BookOfBooks	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/BookOfBooks	http://ifs.yonorummy.in/GameX/BookOfBooks/project.manifest
assets/res/raw-assets/76/76e34013-d861-4bb2-8dde-f3b504908f21.manifest	DragonHatch	DragonHatch	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/DragonHatch	http://ifs.yonorummy.in/GameX/DragonHatch/project.manifest
assets/res/raw-assets/79/79b115cf-4df9-46f4-852e-0b8a2573dc4b.manifest	PinataFrenzy	PinataFrenzy	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/PinataFrenzy	http://ifs.yonorummy.in/GameX/PinataFrenzy/project.manifest
assets/res/raw-assets/79/79e0625b-a4d4-44e2-bacd-4170d507a002.manifest	DoomsdayRampage	DoomsdayRampage	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/DoomsdayRampage	http://ifs.yonorummy.in/GameX/DoomsdayRampage/project.manifest
assets/res/raw-assets/7a/7a32619f-24bf-43f8-9b67-58c2ca0020f5.manifest	ShinyDiamond777	ShinyDiamond777	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/ShinyDiamond777	http://ifs.yonorummy.in/GameX/ShinyDiamond777/project.manifest
assets/res/raw-assets/7a/7a94e381-9776-4d07-af84-b59e8cf3edcf.manifest	Gopnik	Gopnik	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Gopnik	http://ifs.yonorummy.in/GameX/Gopnik/project.manifest
